program	class	m3_vs_m4	m3_vs_ref	m4_vs_ref
410_arith_int	IDENTICAL	=	=	=
411_arith_unary	IDENTICAL	=	=	=
412_arith_real	IDENTICAL	=	=	=
413_arith_mixed	IDENTICAL	=	=	=
414_remdr	IDENTICAL	=	=	=
810_replace	IDENTICAL	=	=	=
811_size	IDENTICAL	=	=	=
812_dupl	IDENTICAL	=	=	=
813_reverse	IDENTICAL	=	=	=
814_trim	IDENTICAL	=	=	=
815_lpad	IDENTICAL	=	=	=
816_rpad	IDENTICAL	=	=	=
910_convert	IDENTICAL	=	=	=
911_datatype	IDENTICAL	=	=	=
912_num_pred	IDENTICAL	=	=	=
913_integer_pred	IDENTICAL	=	=	=
914_lgt	IDENTICAL	=	=	=
915_llt	IDENTICAL	=	=	=
916_leq	IDENTICAL	=	=	=
917_lne	IDENTICAL	=	=	=
918_lge	IDENTICAL	=	=	=
919_lle	IDENTICAL	=	=	=
W01_pat_lit_anchor	IDENTICAL	=	=	=
W01_pat_lit_basic	IDENTICAL	=	=	=
W01_pat_lit_fail	IDENTICAL	=	=	=
W02_seq_basic	IDENTICAL	=	=	=
W02_seq_fail_propagate	IDENTICAL	=	=	=
W02_seq_nested	IDENTICAL	=	=	=
W03_alt_basic	IDENTICAL	=	=	=
W03_alt_both_fail	IDENTICAL	=	=	=
W03_alt_second	IDENTICAL	=	=	=
W04_arbno_backtrack	IDENTICAL	=	=	=
W04_arbno_basic	IDENTICAL	=	=	=
W04_arbno_zero	IDENTICAL	=	=	=
W05_any	IDENTICAL	=	=	=
W05_break	IDENTICAL	=	=	=
W05_breakx	IDENTICAL	=	=	=
W05_notany	IDENTICAL	=	=	=
W05_span	IDENTICAL	=	=	=
W06_len	IDENTICAL	=	=	=
W06_pos	IDENTICAL	=	=	=
W06_rpos	IDENTICAL	=	=	=
W06_tab	IDENTICAL	=	=	=
W07_capt_chain	IDENTICAL	=	=	=
W07_capt_cond	IDENTICAL	=	=	=
W07_capt_cur	IDENTICAL	=	=	=
W07_capt_fail	IDENTICAL	=	=	=
W07_capt_imm	IDENTICAL	=	=	=
065_builtin_size	IDENTICAL	=	=	=
066_builtin_substr	IDENTICAL	=	=	=
067_builtin_replace	IDENTICAL	=	=	=
068_builtin_trim	IDENTICAL	=	=	=
069_builtin_dupl	IDENTICAL	=	=	=
070_builtin_reverse	IDENTICAL	=	=	=
071_builtin_ucase	IDENTICAL	=	=	=
072_builtin_lcase	IDENTICAL	=	=	=
073_builtin_lpad	IDENTICAL	=	=	=
074_builtin_rpad	IDENTICAL	=	=	=
075_builtin_integer_test	IDENTICAL	=	=	=
cross	M3-MISS	-	-	-
word1	M3-MISS	-	-	-
word2	M3-MISS	-	-	-
word3	M3-MISS	-	-	-
word4	M3-MISS	-	-	-
wordcount	IDENTICAL	=	DIFF	DIFF
