# nqp_key	sc_name -- the census key of each Perl6/Grammar.nqp declaration and the Snocone pattern it becomes
startstops/starter	ss3_starter
Perl6::Grammar/circumfix:sym<:{ }>	g_circumfix__x3ax7bx20x7d
Perl6::Grammar/postfix:sym<i>	g_postfix__i
Perl6::Grammar/prefix:sym<++>	g_prefix__x2bx2b
Perl6::Grammar/prefix:sym<-->	g_prefix__x2dx2d
Perl6::Grammar/prefix:sym<++⚛>	g_prefix__x2bx2bu269b
Perl6::Grammar/prefix:sym<--⚛>	g_prefix__x2dx2du269b
Perl6::Grammar/postfix:sym<++>	g_postfix__x2bx2b
Perl6::Grammar/postfix:sym<-->	g_postfix__x2dx2d
Perl6::Grammar/postfix:sym<⚛++>	g_postfix__u269bx2bx2b
Perl6::Grammar/postfix:sym<⚛-->	g_postfix__u269bx2dx2d
Perl6::Grammar/postfix:sym<ⁿ>	g_postfix__u207f
Perl6::Grammar/postfix:sym«->»	g_postfix__x2dx3e
Perl6::Grammar/infix:sym<**>	g_infix__x2ax2a
Perl6::Grammar/prefix:sym<+>	g_prefix__x2b
Perl6::Grammar/prefix:sym<~~>	g_prefix__x7ex7e
Perl6::Grammar/prefix:sym<~>	g_prefix__x7e
Perl6::Grammar/prefix:sym<->	g_prefix__x2d
Perl6::Grammar/prefix:sym<−>	g_prefix__u2212
Perl6::Grammar/prefix:sym<??>	g_prefix__x3fx3f
Perl6::Grammar/prefix:sym<?>	g_prefix__x3f
Perl6::Grammar/prefix:sym<!>	g_prefix__x21
Perl6::Grammar/prefix:sym<|>	g_prefix__x7c
Perl6::Grammar/prefix:sym<+^>	g_prefix__x2bx5e
Perl6::Grammar/prefix:sym<~^>	g_prefix__x7ex5e
Perl6::Grammar/prefix:sym<?^>	g_prefix__x3fx5e
Perl6::Grammar/prefix:sym<^^>	g_prefix__x5ex5e
Perl6::Grammar/prefix:sym<^>	g_prefix__x5e
Perl6::Grammar/prefix:sym<⚛>	g_prefix__u269b
Perl6::Grammar/prefix:sym<//>	g_prefix__x2fx2f
Perl6::Grammar/infix:sym<*>	g_infix__x2a
Perl6::Grammar/infix:sym<×>	g_infix__u00d7
Perl6::Grammar/infix:sym</>	g_infix__x2f
Perl6::Grammar/infix:sym<÷>	g_infix__u00f7
Perl6::Grammar/infix:sym<div>	g_infix__div
Perl6::Grammar/infix:sym<gcd>	g_infix__gcd
Perl6::Grammar/infix:sym<lcm>	g_infix__lcm
Perl6::Grammar/infix:sym<%>	g_infix__x25
Perl6::Grammar/infix:sym<mod>	g_infix__mod
Perl6::Grammar/infix:sym<%%>	g_infix__x25x25
Perl6::Grammar/infix:sym<+&>	g_infix__x2bx26
Perl6::Grammar/infix:sym<~&>	g_infix__x7ex26
Perl6::Grammar/infix:sym<?&>	g_infix__x3fx26
Perl6::Grammar/infix:sym«+<»	g_infix__x2bx3c
Perl6::Grammar/infix:sym«+>»	g_infix__x2bx3e
